"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "JavaScript JSX", "JavaScript", "Prisma", "JSON", "SCSS", "CSS", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 5, 11
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\README.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\cgu\page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\dynamic-site\page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\remake-site\page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\static-site\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\static-site\components\RoadMap.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\static-site\components\Video.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\learn-more\static-site\page.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17
"c:\xampp\htdocs\Compagnon de Code\c_de_c_front\app\(pages)\projects\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
